constituency_id,constituency_name,representative_name,promise_id,promise_text,policy_domain,indicator_name,baseline_value,target_value,latest_value,status,evidence_url_primary,evidence_url_secondary,source_tier,confidence_label,confidence_score,last_verified,freshness_sla_days,freshness_state,verification_note
mumbai-south,Mumbai South,Sample Representative,MS-P-001,Clean water access in all wards,Water,"Share of wards with functional piped-water service meeting quality norms",4/10 wards,10/10 wards,6/10 wards,in_progress,https://example.org/mumbai-water-progress-q4,https://example.org/state-water-budget-release,B,Medium,71,2026-05-30,30,fresh,"Pipeline upgrades complete in 6 wards; remaining works active."
mumbai-south,Mumbai South,Sample Representative,MS-P-002,24x7 PHC services in 3 zones,Health,No. of target PHCs operating 24x7,0/3 PHCs,3/3 PHCs,3/3 PHCs,done,https://example.org/district-health-dashboard-phc,https://example.org/phc-night-shift-staffing-audit,A,High,87,2026-05-26,30,fresh,"All three PHCs listed as round-the-clock functional with staffing records."
mumbai-south,Mumbai South,Sample Representative,MS-P-003,Metro corridor completion by 2025,Transport,"Completion status against declared 2025 deadline",45% complete,100% by 2025,67% complete by 2026-05,misleading,https://example.org/metro-progress-report-2026,https://example.org/metro-budget-2026-27,A,High,84,2026-05-28,30,fresh,"Official timeline revised beyond 2025; claim no longer aligned with records."
mumbai-south,Mumbai South,Sample Representative,MS-P-004,School upgrades in all blocks,Education,No. of blocks with sanctioned + started school upgrade works,0/8 blocks,8/8 blocks,0/8 blocks,not_started,https://example.org/education-works-plan-2026,https://example.org/block-sanction-register-education,B,Medium,63,2026-05-18,90,fresh,"Concept note exists but no sanctioned block-wise implementation yet."
mumbai-south,Mumbai South,Sample Representative,MS-P-005,100% LED streetlight retrofit in 2 years,Urban Services,Share of streetlights converted to LED,32%,100%,78%,in_progress,https://example.org/municipal-lighting-dashboard,https://example.org/ulb-procurement-led-phase2,B,Medium,74,2026-05-22,30,fresh,"Major rollout completed; full conversion pending in older wards."
mumbai-south,Mumbai South,Sample Representative,MS-P-006,Zero garbage blackspots in 12 months,Sanitation,No. of mapped blackspots remaining,27 sites,0 sites,11 sites,in_progress,https://example.org/swm-field-audit-apr-2026,https://example.org/citizen-complaint-closure-report,B,Medium,68,2026-05-24,30,fresh,"Blackspots reduced but not eliminated; recurring sites still reported."
mumbai-south,Mumbai South,Sample Representative,MS-P-007,New women safety patrol units across constituency,Public Safety,No. of operational patrol units vs plan,2 units,10 units,9 units,in_progress,https://example.org/police-modernization-status-note,https://example.org/home-dept-budget-release-safety,B,Medium,72,2026-04-30,30,aging,"Most units deployed; one unit pending staffing approval."
mumbai-south,Mumbai South,Sample Representative,MS-P-008,Local job center placement for 50,000 youth,Employment,No. of verified placements via official portal,0,50000,18340,in_progress,https://example.org/state-skill-mission-placement-dashboard,https://example.org/third-party-placement-audit,C,Medium,60,2026-03-29,90,fresh,"Placements rising but far below target; source granularity moderate."
mumbai-south,Mumbai South,Sample Representative,MS-P-009,Flood-resilient stormwater upgrades before monsoon,Climate Resilience,"Length of drains upgraded and de-silted vs plan",12 km,55 km,55 km,done,https://example.org/pre-monsoon-drainage-compliance-report,https://example.org/ward-wise-desilting-gis-dashboard,B,High,81,2026-05-20,30,fresh,"Planned pre-monsoon upgrade length completed with ward-level evidence."
mumbai-south,Mumbai South,Sample Representative,MS-P-010,Universal digital classrooms in municipal schools,Education,Share of municipal schools with functional smart-class setup,18%,100%,34%,in_progress,https://example.org/school-it-enablement-status,https://example.org/procurement-installation-report-edu,B,Low,53,2026-02-15,90,aging,"Installations underway but functionality verification incomplete in many schools."